,time(s),x_max,x_min,x_avg,y_max,y_min,y_avg,y_diff,z_max,z_min,z_avg,smv_max,smv_min,smv_avg,label
33,68.0,2.63,-1.37,0.5974199999999983,6.32,3.54,4.956230000000004,2.7800000000000002,12.23,6.14,8.474549999999995,12.885456918557448,8.109636243383546,9.941072608997144,0
34,70.0,3.25,0.15,1.368079999999998,5.89,2.49,4.891979999999998,3.3999999999999995,11.77,5.71,8.443909999999988,12.355589828089958,7.10677141886525,9.922556546371421,0
35,72.0,69.46,-33.4,4.152559999999997,53.29,-57.2,0.9886400000000062,110.49000000000001,73.93,-21.16,6.819699999999982,90.1872036377667,0.14628738838327796,8.69751612401846,1
36,74.0,55.67,-33.13,-1.0134100000000006,18.01,-31.95,-1.8434499999999991,49.96,74.46,-24.33,7.645550000000003,92.75188677326193,0.31,10.34196049844925,0
37,76.0,-4.89,-10.72,-7.81087,2.21,-6.41,-0.30124000000000006,8.620000000000001,6.33,2.41,4.273350000000003,11.960911336516128,6.637544726779625,9.304776982676913,0
38,78.0,73.54,-32.78,1.6834599999999955,28.97,-74.08,-1.8966100000000148,103.05,72.53,-76.4,-4.1195200000000005,121.16954072703255,0.4342810150121693,10.660719033010855,1
39,80.0,73.25,-0.12,5.896399999999982,43.3,-44.49,0.07974000000000103,87.78999999999999,35.25,-13.03,0.8328200000000031,86.56229837521644,0.2215851980616034,7.0557954463030725,1
40,82.0,76.51,-42.52,3.3207300000000157,73.73,-53.67,-1.6464200000000002,127.4,66.47,-74.64,-7.266949999999982,96.64118583709535,0.2672077843177478,12.31146025583707,1
41,84.0,9.18,5.36,7.5106699999999975,3.24,-6.8,0.47694999999999954,10.04,8.35,-0.18,4.7004300000000026,10.70412070186057,7.0036704662626725,9.481925874209438,0
42,86.0,5.47,-0.53,2.6381400000000044,5.51,-0.82,2.927799999999999,6.33,12.46,2.68,8.921869999999995,12.90170918909584,6.471846722536003,10.043696726467404,0
43,88.0,2.51,-0.23,1.2132700000000014,5.64,1.94,3.7817400000000054,3.6999999999999997,11.77,6.95,9.163199999999987,12.013912768120134,7.965594767498533,10.052215094408965,0
44,90.0,3.66,0.26,2.128650000000002,5.34,1.59,3.813009999999998,3.75,11.88,6.04,8.859279999999995,12.205072715883343,6.922506771394305,9.963926288894308,0
45,92.0,68.16,-43.74,5.10484,76.67,-45.23,0.8930799999999985,121.9,78.08,-72.7,6.4263799999999875,113.54011890076565,0.24779023386727733,12.29360950989463,1
46,94.0,17.84,-33.22,-2.279670000000001,7.18,-14.09,-0.9244999999999998,21.27,74.8,-48.94,7.817899999999999,75.3544756467723,0.41569219381653055,10.541705544001978,0
47,96.0,66.95,-73.31,2.9559599999999984,51.6,-74.4,-6.3693,126.0,16.63,-71.34,-5.005149999999993,105.17483063927415,0.1609347693943108,10.763201297886562,1
48,98.0,9.86,-21.52,2.868620000000013,39.74,-73.34,-0.9106999999999997,113.08000000000001,72.71,-42.89,5.573209999999994,103.44059454585516,0.20322401432901577,7.8349608621553815,1
49,100.0,3.12,-13.64,-3.6606100000000006,4.71,-12.97,-2.9317999999999973,17.68,15.16,-2.99,6.343520000000001,17.617380622555668,5.598901678007929,10.550042744905047,0
50,102.0,7.31,-9.47,1.4013799999999998,4.45,-6.8,-1.328950000000001,11.25,13.27,-2.04,8.40149000000001,14.49909652357691,6.005614040212708,10.215501490396667,0
51,104.0,4.81,0.91,1.8263499999999973,4.42,0.98,3.443269999999992,3.44,9.53,7.86,8.886890000000017,10.25777266271777,9.258466395683467,9.812554132799022,0
52,106.0,3.2,-0.13,1.0629400000000016,5.17,1.9,3.501360000000006,3.27,10.5,8.14,9.192110000000008,11.390333621101709,8.592845861529229,9.94665569359169,0
53,108.0,3.19,-1.46,0.057120000000000073,5.01,2.5,3.7513600000000014,2.51,10.84,7.89,9.139330000000008,11.956901772616517,8.522704969667787,9.967432495353037,0
54,110.0,2.24,-1.89,0.4456599999999998,4.25,2.33,3.5177399999999954,1.92,10.22,8.29,9.181280000000003,10.751023207118473,9.06839566847411,9.949775150967017,0
55,112.0,71.47,-20.97,1.5737099999999973,4.05,-53.39,2.6057,57.44,72.33,-40.81,7.043629999999988,114.11484828890586,0.17349351572897473,8.594558896174705,1
56,114.0,51.33,-73.36,3.123670000000014,58.28,-70.58,-1.469610000000005,128.86,68.09,-74.84,-7.629299999999983,103.17196179195199,0.21840329667841554,12.654741511902055,1
57,116.0,78.15,-6.88,3.3746699999999934,21.69,-78.15,-1.3604799999999777,99.84,73.93,-74.46,-2.3476800000000018,124.77118176886842,0.4092676385936225,10.15773856555185,1
58,118.0,75.8,-39.32,0.5832800000000034,61.55,-26.65,-1.1671600000000026,88.19999999999999,74.83,-71.62,4.610360000000003,116.36706192045926,0.06403124237432849,12.723552907193579,1
59,120.0,76.37,-40.69,3.8494600000000005,60.78,-75.55,-1.749719999999999,136.32999999999998,76.64,-77.73,-5.97316,113.18530558336626,0.17146428199482247,11.327183432265636,1
